author_name,author_gender,birthplace,pub_date,book_id,book_title,genre,pages,book_average_rating,book_fullurl
François Rabelais,male,France,1532,18266,Gargantua and Pantagruel,Classics,1041,3.71,https://www.goodreads.com/book/show/18266.Gargantua_and_Pantagruel
François Rabelais,male,France,1532,18266,Gargantua en Pantagruel,Classics,777,3.7,https://www.goodreads.com/book/show/18266.Gargantua_and_Pantagruel
John Calvin,male,France,1536,232467,"Institutes of the Christian Religion, 2 Vols",Religion,1810,4.12,https://www.goodreads.com/book/show/232467.Institutes_of_the_Christian_Religion_2_Vols
Church of England,male,United Kingdom,1549,1058726,The Book of Common Prayer and Administration of the Sacraments and Other Rites and Ceremonies of the Church,Religion,1001,4.35,https://www.goodreads.com/book/show/1058726.The_Book_of_Common_Prayer_and_Administration_of_the_Sacraments_and_Other_Rites_and_Ceremonies_of_the_Church
Benvenuto Cellini,male,Italy,1558,880378,My Life,Biography,512,3.98,https://www.goodreads.com/book/show/880378.The_Autobiography_Of_Benvenuto_Cellini
Bernal Díaz del Castillo,male,Spain,1568,108490,The Conquest of New Spain,History,416,4.1,https://www.goodreads.com/book/show/108490.The_Conquest_of_New_Spain
Michel de Montaigne,male,France,1572,30735,The Complete Essays,Philosophy,1344,4.24,https://www.goodreads.com/book/show/30735.The_Complete_Essays
Edmund Spenser,male,England,1590,765427,The Faerie Queene,Poetry,1248,3.56,https://www.goodreads.com/book/show/765427.The_Faerie_Queene
Christopher Marlowe,male,United Kingdom,1592,18525,Dr. Faustus,Classics,56,3.79,https://www.goodreads.com/book/show/18525.Dr_Faustus
William Shakespeare,male,United Kingdom,1593,47021,The Taming of the Shrew,Classics,291,3.81,https://www.goodreads.com/book/show/47021.The_Taming_of_the_Shrew
William Shakespeare,male,United Kingdom,1603,12996,Othello,Classics,314,3.88,https://www.goodreads.com/book/show/12996.Othello
Ben Jonson,male,England,1603,1012062,Sejanus,Plays,224,3.26,https://www.goodreads.com/book/show/1012062.Sejanus
Miguel de Cervantes Saavedra,male,Spain,1605,3836,Don Quixote,Classics,1023,3.86,https://www.goodreads.com/book/show/3836.Don_Quixote
Thomas Middleton,male,England,1605,163835,"A Mad World, My Masters",Plays,100,3.44,https://www.goodreads.com/book/show/163835.A_Mad_World_My_Masters
William Shakespeare,male,United Kingdom,1606,8852,Macbeth,Classics,349,3.89,https://www.goodreads.com/book/show/8852.Macbeth
William Shakespeare,male,United Kingdom,1609,42038,Sonnets,Poetry,488,4.24,https://www.goodreads.com/book/show/42038.Sonnets
Francis de Sales,male,France,1609,398834,Introduction to the Devout Life,Christianity,288,4.39,https://www.goodreads.com/book/show/398834.Introduction_to_the_Devout_Life
Lanling Xiaoxiao Sheng,male,China,1610,17861528,"The Plum in the Golden Vase or, Chin P'ing Mei: Volume Five: The Dissolution",Cultural,624,4.39,https://www.goodreads.com/book/show/17861528-the-plum-in-the-golden-vase-or-chin-p-ing-mei
John Webster,male,United Kingdom,1612,568901,The White Devil,Plays,128,3.6,https://www.goodreads.com/book/show/568901.The_White_Devil
Luis de Góngora,male,Spain,1613,65161,The Solitudes,Poetry,176,3.98,https://www.goodreads.com/book/show/65161.Soledades
Tirso de Molina,male,Spain,1616,63627,El burlador de Sevilla,European Literature,200,3.66,https://www.goodreads.com/book/show/63627.El_burlador_de_Sevilla
Lope de Vega,male,Spain,1620,65210,El caballero de Olmedo,Classics,222,3.52,https://www.goodreads.com/book/show/65210.El_caballero_de_Olmedo
William Shakespeare,male,United Kingdom,1623,12985,The Tempest,Classics,218,3.81,https://www.goodreads.com/book/show/12985.The_Tempest
Francis Bacon,male,England,1624,277032,The New Atlantis,Philosophy,48,3.16,https://www.goodreads.com/book/show/277032.The_New_Atlantis
Francisco de Quevedo,male,Spain,1627,69797,Los sueños,Poetry,652,3.84,https://www.goodreads.com/book/show/69797.Los_sue_os
Galileo Galilei,male,Italy,1632,68218,Dialogue Concerning the Two Chief World Systems,Science,640,4.08,https://www.goodreads.com/book/show/68218.Dialogue_Concerning_the_Two_Chief_World_Systems
John Donne,male,England,1633,134025,The Complete English Poems,Poetry,688,4.14,https://www.goodreads.com/book/show/134025.The_Complete_English_Poems
George Herbert,male,United Kingdom,1633,199264,The Temple: The Poetry of George Herbert,Poetry,212,4.13,https://www.goodreads.com/book/show/199264.The_Temple
John  Ford,male,United Kingdom,1633,1042903,'Tis Pity She's a Whore,Plays,176,3.68,https://www.goodreads.com/book/show/1042903._Tis_Pity_She_s_a_Whore
Pedro Calderón de la Barca,male,Spain,1636,916114,La vida es sueño,Plays,207,3.98,https://www.goodreads.com/book/show/916114.La_vida_es_sue_o
René Descartes,male,France,1637,31862,Discourse on Method and Meditations on First Philosophy,Philosophy,103,3.69,https://www.goodreads.com/book/show/31862.Discourse_on_Method_and_Meditations_on_First_Philosophy
Pierre Corneille,male,France,1639,1424198,Cinna,Plays,118,3.41,https://www.goodreads.com/book/show/1424198.Cinna
Thomas Browne,male,United Kingdom,1643,1503988,Religio Medici,Philosophy,312,3.93,https://www.goodreads.com/book/show/1503988.Religio_Medici
Thomas Hobbes,male,England,1651,91953,Leviathan,Philosophy,736,3.69,https://www.goodreads.com/book/show/91953.Leviathan
John Owen,male,United Kingdom,1656,117967,Overcoming Sin & Temptation,Religion,462,4.42,https://www.goodreads.com/book/show/117967.Overcoming_Sin_Temptation
Thomas Dekker,male,United Kingdom,1658,429239,The Witch of Edmonton,Plays,160,3.38,https://www.goodreads.com/book/show/429239.The_Witch_of_Edmonton
François de La Rochefoucauld,male,France,1665,797329,Maxims,Philosophy,126,4.06,https://www.goodreads.com/book/show/797329.Maxims
Margaret Cavendish,female,England,1666,354620,The Blazing World and Other Writings,Classics,272,3.28,https://www.goodreads.com/book/show/354620.The_Blazing_World_and_Other_Writings
Molière,male,France,1666,2924317,Le Médecin Malgré Lui,Classics,189,3.8,https://www.goodreads.com/book/show/2924317-le-m-decin-malgr-lui
John Milton,male,England,1667,15997,Paradise Lost,Classics,453,3.81,https://www.goodreads.com/book/show/15997.Paradise_Lost
John Locke,male,United Kingdom,1667,364549,A Letter Concerning Toleration,Philosophy,72,3.86,https://www.goodreads.com/book/show/364549.A_Letter_Concerning_Toleration
Jean de La Fontaine,male,France,1668,1151331,Fables,Classics,482,4.05,https://www.goodreads.com/book/show/1151331.Fables
Jean Racine,male,France,1669,838146,Britannicus,Classics,224,3.66,https://www.goodreads.com/book/show/838146.Britannicus
Hans Jakob Christoffel von Grimmelshausen,male,Germany,1669,999513,Simplicissimus,Classics,434,3.72,https://www.goodreads.com/book/show/999513.Simplicissimus
Baruch Spinoza,male,Netherlands,1670,208657,A Theologico-Political Treatise: A Political Treatise,Philosophy,432,4.04,https://www.goodreads.com/book/show/208657.Theological_Political_Treatise
Blaise Pascal,male,France,1670,449407,Pensées,Philosophy,334,3.97,https://www.goodreads.com/book/show/449407.Pens_es
John Milton,male,England,1671,336518,Paradise Lost and Paradise Regained (Signet Classics),Classics,400,4.08,https://www.goodreads.com/book/show/336518.Paradise_Lost_and_Paradise_Regained
William Wycherley,male,United Kingdom,1675,764003,The Country Wife,Plays,208,3.36,https://www.goodreads.com/book/show/764003.The_Country_Wife
Izaak Walton,male,United Kingdom,1676,293707,"The Compleat Angler, or the Contemplative Man's Recreation",Nonfiction,208,3.78,https://www.goodreads.com/book/show/293707.The_Compleat_Angler_or_the_Contemplative_Man_s_Recreation
John Bunyan,male,England,1678,29797,The Pilgrim's Progress,Classics,324,3.99,https://www.goodreads.com/book/show/29797.The_Pilgrim_s_Progress
Madame de La Fayette,female,France,1678,354364,The Princesse de Clèves,Classics,288,3.44,https://www.goodreads.com/book/show/354364.The_Princesse_de_Cl_ves
Isaac Newton,male,United Kingdom,1687,231083,The Principia: Mathematical Principles of Natural Philosophy,Science,991,4.22,https://www.goodreads.com/book/show/231083.The_Principia
Aphra Behn,female,United Kingdom,1688,51190,Oroonoko,Classics,144,2.98,https://www.goodreads.com/book/show/51190.Oroonoko
John Locke,male,United Kingdom,1689,364550,Two Treatises of Government,Philosophy,480,3.82,https://www.goodreads.com/book/show/364550.Two_Treatises_of_Government
Brother Lawrence,male,France,1691,498641,The Practice of the Presence of God,Christian,96,4.29,https://www.goodreads.com/book/show/498641.The_Practice_of_the_Presence_of_God
William Congreve,male,United Kingdom,1700,191275,The Way of the World,Plays,124,3.37,https://www.goodreads.com/book/show/191275.The_Way_of_the_World
Matsuo Bashō,male,Japan,1702,175626,The Narrow Road to the Deep North and Other Travel Sketches (Yuasa),Poetry,167,4.14,https://www.goodreads.com/book/show/175626.The_Narrow_Road_to_the_Deep_North_and_Other_Travel_Sketches
Daniel Defoe,male,England,1719,2932,Robinson Crusoe,Classics,320,3.67,https://www.goodreads.com/book/show/2932.Robinson_Crusoe
Montesquieu,male,France,1721,509686,Persian Letters,Classics,352,3.73,https://www.goodreads.com/book/show/509686.Persian_Letters
Daniel Defoe,male,England,1722,38262,Moll Flanders,Classics,339,3.52,https://www.goodreads.com/book/show/38262.Moll_Flanders
Jonathan Swift,male,Ireland,1726,7733,Gulliver's Travels,Classics,306,3.56,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels
Benjamin Franklin,male,United States,1732,855913,Poor Richard's Almanack,Classics,48,4.09,https://www.goodreads.com/book/show/855913.Poor_Richard_s_Almanack
Jonathan Edwards,male,United States,1746,549029,The Religious Affections,Religion,382,4.21,https://www.goodreads.com/book/show/549029.The_Religious_Affections
Samuel Richardson,male,United Kingdom,1748,529243,"Clarissa, or, the History of a Young Lady",Classics,1534,3.36,https://www.goodreads.com/book/show/529243.Clarissa_or_the_History_of_a_Young_Lady
John Cleland,male,United Kingdom,1748,195144,"Fanny Hill, or Memoirs of a Woman of Pleasure",Classics,224,3.33,https://www.goodreads.com/book/show/195144.Fanny_Hill_or_Memoirs_of_a_Woman_of_Pleasure
Voltaire,male,France,1759,19380,Candide,Classics,129,3.76,https://www.goodreads.com/book/show/19380.Candide
Laurence Sterne,male,Ireland,1759,76527,"The Life and Opinions of Tristram Shandy, Gentleman",Classics,588,3.74,https://www.goodreads.com/book/show/76527.The_Life_and_Opinions_of_Tristram_Shandy_Gentleman
Horace Walpole,male,United Kingdom,1764,12923,The Castle of Otranto,Classics,125,3.18,https://www.goodreads.com/book/show/12923.The_Castle_of_Otranto
Gotthold Ephraim Lessing,male,Germany,1772,1436901,Emilia Galotti: Ein Trauerspiel in fünf Aufzügen,Classics,93,3.1,https://www.goodreads.com/book/show/1436901.Emilia_Galotti
Johann Wolfgang von Goethe,male,Germany,1774,16640,The Sorrows of Young Werther,Classics,149,3.65,https://www.goodreads.com/book/show/16640.The_Sorrows_of_Young_Werther
Thomas Paine,male,England,1776,99955,"Common Sense, The Rights of Man and Other Essential Writings",Philosophy,416,4.13,https://www.goodreads.com/book/show/99955.Common_Sense_The_Rights_of_Man_and_Other_Essential_Writings
Adam Smith,male,Scotland,1776,25698,The Wealth of Nations,Economics,1264,3.89,https://www.goodreads.com/book/show/25698.The_Wealth_of_Nations
Founding Fathers,male,United States,1776,285500,"Declaration of Independence, Constitution of the United States of America, Bill of Rights and Constitutional Amendments (Including Images of Original",History,61,4.44,https://www.goodreads.com/book/show/285500.The_Declaration_of_Independence_and_The_Constitution_of_the_United_States
Edward Gibbon,male,England,1776,19400,The Decline and Fall of the Roman Empire,History,1312,3.97,https://www.goodreads.com/book/show/19400.The_Decline_and_Fall_of_the_Roman_Empire
Ueda Akinari,male,Japan,1776,237118,Tales of Moonlight and Rain,Cultural,235,3.88,https://www.goodreads.com/book/show/237118.Tales_of_Moonlight_and_Rain
Thomas Paine,male,England,1776,161744,Common Sense,History,104,3.97,https://www.goodreads.com/book/show/161744.Common_Sense
Founding Fathers,male,United States,1776,285500,The Declaration of Independence and the Constitution of the United States of America,History,58,4.44,https://www.goodreads.com/book/show/285500.The_Declaration_of_Independence_and_The_Constitution_of_the_United_States
Fanny Burney,female,United Kingdom,1778,37638,Evelina,Classics,455,3.66,https://www.goodreads.com/book/show/37638.Evelina
Immanuel Kant,male,Germany,1781,18288,Critique of Pure Reason,Philosophy,796,3.93,https://www.goodreads.com/book/show/18288.Critique_of_Pure_Reason
William Beckford,male,United Kingdom,1782,859694,Vathek,Classics,170,3.3,https://www.goodreads.com/book/show/859694.Vathek
Pierre Choderlos de Laclos,male,France,1782,49540,Les Liaisons dangereuses,Classics,448,4.07,https://www.goodreads.com/book/show/49540.Les_Liaisons_dangereuses
Marquis de Sade,male,France,1785,6351885,The 120 Days of Sodom,Fiction,376,3.14,https://www.goodreads.com/book/show/6351885-the-120-days-of-sodom
Denis Diderot,male,France,1785,18212,Jacques the Fatalist,Classics,304,3.84,https://www.goodreads.com/book/show/18212.Jacques_the_Fatalist
Marquis de Sade,male,France,1785,60200,The 120 Days of Sodom and Other Writings,Fiction,799,3.46,https://www.goodreads.com/book/show/60200.The_120_Days_of_Sodom_and_Other_Writings
Founding Fathers,male,United States,1787,89959,The Constitution of the United States of America,History,30,4.54,https://www.goodreads.com/book/show/89959.The_Constitution_of_the_United_States_of_America
Jacques-Henri Bernardin de Saint-Pierre,male,France,1787,3297949'],الفضيلة,Classics,228,3.78,https://www.goodreads.com/book/show/3297949
William Blake,male,United Kingdom,1790,23913,The Marriage of Heaven and Hell,Poetry,82,4.24,https://www.goodreads.com/book/show/23913.The_Marriage_of_Heaven_and_Hell
Benjamin Franklin,male,United States,1791,52309,The Autobiography of Benjamin Franklin,Biography,160,3.82,https://www.goodreads.com/book/show/52309.The_Autobiography_of_Benjamin_Franklin
Mary Wollstonecraft,female,United Kingdom,1792,224387,A Vindication of the Rights of Woman,Feminism,269,3.91,https://www.goodreads.com/book/show/224387.A_Vindication_of_the_Rights_of_Woman
Ann Radcliffe,female,United Kingdom,1794,93134,The Mysteries of Udolpho,Classics,654,3.37,https://www.goodreads.com/book/show/93134.The_Mysteries_of_Udolpho
Ann Radcliffe,female,United Kingdom,1797,93136,The Italian,Classics,544,3.51,https://www.goodreads.com/book/show/93136.The_Italian
William Wilberforce,male,United Kingdom,1797,374280,Real Christianity,Christian,203,4.22,https://www.goodreads.com/book/show/374280.Real_Christianity
Samuel Taylor Coleridge,male,England,1798,732562,The Rime of the Ancient Mariner,Poetry,77,3.93,https://www.goodreads.com/book/show/732562.The_Rime_of_the_Ancient_Mariner
William Wordsworth,male,England,1798,112110,Lyrical Ballads,Poetry,118,3.93,https://www.goodreads.com/book/show/112110.Lyrical_Ballads
Mungo Park,male,Scotland,1799,108854,Travels into the Interior of Africa,Travel,384,3.89,https://www.goodreads.com/book/show/108854.Travels_into_the_Interior_of_Africa
Novalis,male,Germany,1800,337182,Hymns to the Night,Poetry,64,4.15,https://www.goodreads.com/book/show/337182.Hymns_to_the_Night
Maria Edgeworth,female,United Kingdom,1801,773534,Belinda,Classics,544,3.65,https://www.goodreads.com/book/show/773534.Belinda
Friedrich Schiller,male,Germany,1805,94910,Poems of Schiller,Poetry,384,4.28,https://www.goodreads.com/book/show/94910.Poems_of_Schiller
Georg Wilhelm Friedrich Hegel,male,Germany,1807,9454,Hegel's Phenomenology of Spirit,Philosophy,640,3.92,https://www.goodreads.com/book/show/9454.Hegel_s_Phenomenology_of_Spirit
Johann Wolfgang von Goethe,male,Germany,1808,14706,Faust: First Part,Classics,327,3.93,https://www.goodreads.com/book/show/14706.Faust
Heinrich von Kleist,male,Germany,1808,330264,The Marquise of O— and Other Stories,Short Stories,336,3.95,https://www.goodreads.com/book/show/330264.The_Marquise_of_O_and_Other_Stories
Johann Wolfgang von Goethe,male,Germany,1809,128837,Elective Affinities,Classics,272,3.74,https://www.goodreads.com/book/show/128837.Elective_Affinities
Jane Austen,female,England,1811,14935,Sense and Sensibility,Classics,409,4.06,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
Friedrich Heinrich Karl de la Motte Fouqué,male,Germany,1811,140996,Undine,Fantasy,128,3.8,https://www.goodreads.com/book/show/140996.Undine
Jacob Grimm,male,Germany,1812,22917,The Complete Grimm's Fairy Tales,Classics,880,4.31,https://www.goodreads.com/book/show/22917.The_Complete_Grimm_s_Fairy_Tales
Ian Wallace,male,Canada,1812,292701,Hansel and Gretel,Classics,32,4.05,https://www.goodreads.com/book/show/292701.Hansel_and_Gretel
Jane Austen,female,England,1813,14905,The Complete Novels,Romance,1344,4.55,https://www.goodreads.com/book/show/14905.The_Complete_Novels
Jane Austen,female,England,1813,1885,Pride and Prejudice,Classics,279,4.25,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
E.T.A. Hoffmann,male,Germany,1816,774449,Nutcracker,Classics,102,4.04,https://www.goodreads.com/book/show/774449.Nutcracker
Jane Austen,female,England,1817,2156,Persuasion,Classics,249,4.13,https://www.goodreads.com/book/show/2156.Persuasion
Mary Wollstonecraft Shelley,female,England,1818,35031085,Frankenstein,Classics,273,3.77,https://www.goodreads.com/book/show/35031085-frankenstein
Walter Scott,male,Scotland,1819,6440,Ivanhoe,Classics,544,3.75,https://www.goodreads.com/book/show/6440.Ivanhoe
John William Polidori,male,United Kingdom,1819,472968,The Vampyre and Other Tales of the Macabre,Horror,312,3.67,https://www.goodreads.com/book/show/472968.The_Vampyre_and_Other_Tales_of_the_Macabre
Charles Robert Maturin,male,Ireland,1820,207313,Melmoth the Wanderer,Classics,659,3.72,https://www.goodreads.com/book/show/207313.Melmoth_the_Wanderer
Washington Irving,male,United States,1820,93261,The Legend of Sleepy Hollow,Classics,108,3.73,https://www.goodreads.com/book/show/93261.The_Legend_of_Sleepy_Hollow
John Keats,male,United Kingdom,1820,138134,The Complete Poems,Poetry,416,4.24,https://www.goodreads.com/book/show/138134.The_Complete_Poems
Thomas de Quincey,male,England,1821,87635,Confessions of an English Opium Eater,Classics,352,3.29,https://www.goodreads.com/book/show/87635.Confessions_of_an_English_Opium_Eater
James Hogg,male,Scotland,1824,87580,The Private Memoirs and Confessions of a Justified Sinner,Classics,272,3.68,https://www.goodreads.com/book/show/87580.The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner
James Fenimore Cooper,male,United States,1826,38296,The Last of the Mohicans,Classics,410,3.7,https://www.goodreads.com/book/show/38296.The_Last_of_the_Mohicans
Emily Dickinson,female,United States,1830,108137,Poems (Shambhala Pocket Classics),Poetry,160,4.26,https://www.goodreads.com/book/show/108137.Poems
Stendhal,male,France,1830,14662,The Red and the Black,Classics,608,3.87,https://www.goodreads.com/book/show/14662.The_Red_and_the_Black
Victor Hugo,male,France,1831,30597,The Hunchback of Notre-Dame,Classics,510,3.99,https://www.goodreads.com/book/show/30597.The_Hunchback_of_Notre_Dame
Honoré de Balzac,male,France,1831,817790,The Unknown Masterpiece,Fiction,160,3.88,https://www.goodreads.com/book/show/817790.The_Unknown_Masterpiece
Alfred Tennyson,male,United Kingdom,1833,294395,Tennyson's Poetry,Poetry,681,4.07,https://www.goodreads.com/book/show/294395.Tennyson_s_Poetry
Honoré de Balzac,male,France,1835,59145,Père Goriot,Classics,370,3.83,https://www.goodreads.com/book/show/59145.P_re_Goriot
Nikolai Gogol,male,Ukraine,1835,28382,Diary of a Madman and Other Stories,Classics,84,4.12,https://www.goodreads.com/book/show/28382.Diary_of_a_Madman_and_Other_Stories
Georg Büchner,male,Germany,1837,571938,Woyzeck,Classics,210,3.35,https://www.goodreads.com/book/show/571938.Woyzeck
Percy Bysshe Shelley,male,England,1839,223394,The Complete Poems,Poetry,944,4.06,https://www.goodreads.com/book/show/223394.The_Complete_Poems
Alexis de Tocqueville,male,France,1840,16619,Democracy in America,History,992,4.01,https://www.goodreads.com/book/show/16619.Democracy_in_America
Charles Dickens,male,England,1841,11026,Barnaby Rudge,Classics,744,3.8,https://www.goodreads.com/book/show/11026.Barnaby_Rudge
James Fenimore Cooper,male,United States,1841,246245,The Deerslayer,Classics,576,3.68,https://www.goodreads.com/book/show/246245.The_Deerslayer
Nikolai Gogol,male,Ukraine,1842,28381,Dead Souls,Classics,512,3.99,https://www.goodreads.com/book/show/28381.Dead_Souls
Edgar Allan Poe,male,United States,1843,291482,The Gold-Bug and Other Tales,Classics,121,3.98,https://www.goodreads.com/book/show/291482.The_Gold_Bug_and_Other_Tales
Charles Dickens,male,England,1843,5326,A Christmas Carol,Classics,104,4.04,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
Frederick Douglass,male,United States,1845,36529,Narrative of the Life of Frederick Douglass,Nonfiction,158,3.99,https://www.goodreads.com/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
Edgar Allan Poe,male,United States,1845,269322,The Raven and Other Poems,Poetry,73,4.31,https://www.goodreads.com/book/show/269322.The_Raven_and_Other_Poems
Emily Brontë,female,United Kingdom,1847,6185,Wuthering Heights,Classics,464,3.84,https://www.goodreads.com/book/show/6185.Wuthering_Heights
Charlotte Brontë,female,United Kingdom,1847,10210,Jane Eyre,Classics,507,4.11,https://www.goodreads.com/book/show/10210.Jane_Eyre
William Makepeace Thackeray,male,India,1848,5797,Vanity Fair,Classics,912,3.78,https://www.goodreads.com/book/show/5797.Vanity_Fair
Karl Marx,male,Germany,1848,30474,The Communist Manifesto,Philosophy,288,3.54,https://www.goodreads.com/book/show/30474.The_Communist_Manifesto
Anne Brontë,female,United Kingdom,1848,337113,The Tenant of Wildfell Hall,Classics,542,3.93,https://www.goodreads.com/book/show/337113.The_Tenant_of_Wildfell_Hall
Lord Byron,male,England,1848,119239,Selected Poems,Poetry,864,4.05,https://www.goodreads.com/book/show/119239.Selected_Poems
Karl Marx,male,Germany,1848,30474,The Communist Manifesto (Great Ideas),Philosophy,128,3.54,https://www.goodreads.com/book/show/30474.The_Communist_Manifesto
Anne Brontë,female,United Kingdom,1848,337113,The Tenant of Wildfell Hall,Classics,441,3.93,https://www.goodreads.com/book/show/337113.The_Tenant_of_Wildfell_Hall
Alexandre Dumas fils,male,France,1848,7186,La Dame aux Camélias,Classics,256,3.98,https://www.goodreads.com/book/show/7186.La_Dame_aux_Cam_lias
Charles Dickens,male,England,1849,58696,David Copperfield,Classics,882,3.98,https://www.goodreads.com/book/show/58696.David_Copperfield
Frédéric Bastiat,male,France,1849,1609224,The Law,Politics,61,4.39,https://www.goodreads.com/book/show/1609224.The_Law
Nathaniel Hawthorne,male,United States,1850,12296,The Scarlet Letter,Classics,279,3.39,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
Sojourner Truth,male,United States,1850,349076,Narrative of Sojourner Truth,History,176,4.11,https://www.goodreads.com/book/show/349076.Narrative_of_Sojourner_Truth
Elizabeth Barrett Browning,female,United Kingdom,1850,154387,Sonnets from the Portuguese,Poetry,64,4.13,https://www.goodreads.com/book/show/154387.Sonnets_from_the_Portuguese
Herman Melville,male,United States,1851,153747,"Moby-Dick, or, the Whale",Classics,720,3.48,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
Herman Melville,male,United States,1851,153747,"Moby-Dick, or, the Whale",Classics,720,3.49,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
Harriet Beecher Stowe,male,United States,1852,46787,Uncle Tom's Cabin,Classics,438,3.85,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
Solomon Northup,male,United States,1853,18478222,Twelve Years a Slave,Nonfiction,363,4.18,https://www.goodreads.com/book/show/18478222-twelve-years-a-slave
Elizabeth Gaskell,female,England,1853,182381,Cranford,Classics,257,3.85,https://www.goodreads.com/book/show/182381.Cranford
Henry David Thoreau,male,United States,1854,16902,"Walden: Or, Life in the Woods",Classics,280,3.79,https://www.goodreads.com/book/show/16902.Walden
Henry David Thoreau,male,United States,1854,16902,Walden,Classics,352,3.79,https://www.goodreads.com/book/show/16902.Walden
Henry David Thoreau,male,United States,1854,16902,"Walden, or Life in the Woods",Classics,448,3.79,https://www.goodreads.com/book/show/16902.Walden
Elizabeth Gaskell,female,England,1855,156538,North and South,Classics,521,4.13,https://www.goodreads.com/book/show/156538.North_and_South
